Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,2048,1024,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,14680064,4299161600,0.260991,52.3844,16472.4
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,4096,2048,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,58720256,34376515584,2.18039,25.0816,15766.2
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,6144,3072,3072,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,132120576,116001865728,6.54149,18.8102,17733.2
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,8192,4096,4096,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,234881024,274945015808,15.3091,14.2889,17959.6
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,10240,5120,5120,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,367001600,536975769600,30.5355,11.1934,17585.3
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,12288,6144,6144,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,528482304,927863930880,52.0161,9.46222,17838
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,14336,7168,7168,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,719323136,1473379303424,82.1016,8.15967,17945.8
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,16384,8192,8192,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,939524096,2199291691008,121.743,7.18729,18065.1
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,18432,9216,9216,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1189085184,3131370897408,222.269,4.98235,14088.2
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,20480,10240,10240,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1468006400,4295386726400,372.316,3.67212,11536.9
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,2048,1024,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,14680064,4299161600,0.187813,72.7952,22890.7
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,2048,1024,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,14680064,4299161600,0.187665,72.8525,22908.7
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,4096,2048,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,58720256,34376515584,1.35853,40.255,25304.2
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,4096,2048,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,58720256,34376515584,1.35794,40.2725,25315.3
