Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,1024,1024,4096,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,20971520,8592031744,0.618233,31.5921,13897.7
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,2048,2048,8192,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,83886080,68727865344,4.04451,19.3163,16992.9
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,3072,3072,12288,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,188743680,231947108352,13.1336,13.3841,17660.6
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,4096,4096,16384,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,335544320,549789368320,30.6653,10.1907,17928.7
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,5120,5120,20480,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,524288000,1073794252800,61.3217,7.96262,17510.8
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,6144,6144,24576,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,754974720,1855501369344,104.538,6.72601,17749.5
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,7168,7168,28672,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1027604480,2946450325504,167.558,5.71163,17584.6
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,8192,8192,32768,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1342177280,4398180728832,291.989,4.28098,15062.8
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,9216,9216,36864,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,1698693120,6262232186880,634.416,2.49368,9870.86
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,not_verified,success,universal,10240,10240,40960,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,2097152000,8590144307200,976.379,2.00038,8797.96
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,1024,1024,4096,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,20971520,8592031744,0.388035,50.3337,22142.4
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,1024,1024,4096,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,20971520,8592031744,0.389168,50.1872,22077.9
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,2048,2048,8192,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,83886080,68727865344,2.75455,28.3622,24950.7
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,2048,2048,8192,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,83886080,68727865344,2.75632,28.344,24934.7
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,3072,3072,12288,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,188743680,231947108352,9.12527,19.2631,25418.1
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,3072,3072,12288,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,188743680,231947108352,9.11572,19.2833,25444.7
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,4096,4096,16384,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,335544320,549789368320,21.1881,14.7488,25948
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,4096,4096,16384,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,335544320,549789368320,21.2163,14.7293,25913.6
1,CUTLASS,gemm,cutlass_tensorop_s1688112gemm_f16_32x32_64x2_tn_align4,not_verified,success,universal,5120,5120,20480,f16:row,f16:column,f32:column,1,0,4,1,tensorop,f32,32,32,64,2,1,1,1,16,8,8,75,1024,524288000,1073794252800,41.5698,11.7461,25831.1
