Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,8388608,2149580800,0.133414,58.5581,16112.1
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,33554432,17188257792,0.987298,31.6521,17409.4
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,3072,3072,3072,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,75497472,58000932864,3.28007,21.4363,17682.8
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,4096,4096,4096,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,134217728,137472507904,7.70174,16.2301,17849.5
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,5120,5120,5120,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,209715200,268487884800,15.2946,12.77,17554.4
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,6144,6144,6144,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,301989888,463931965440,26.032,10.804,17821.6
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,7168,7168,7168,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,411041792,736689651712,41.0915,9.3161,17928
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,8192,8192,8192,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,536870912,1099645845504,60.9826,8.19906,18032.1
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,9216,9216,9216,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,679477248,1565685448704,107.816,5.86939,14521.9
1,CUTLASS,gemm,cutlass_tensorop_s1688111gemm_f16_32x32_32x2_tn_align4,passed,success,universal,10240,10240,10240,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,32,32,32,2,1,1,1,16,8,8,75,1024,838860800,2147693363200,183.702,4.25281,11691.2
